City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Kardailovo,RU,2021-02-06 22:29:08,51.5386,53.9042,8.67,93,100,15.57
272,Port Keats,AU,2021-02-06 22:29:08,-14.25,129.55,81.9,79,71,11.36
273,Carrollton,US,2021-02-06 22:24:20,32.9537,-96.8903,55.99,62,40,19.57
274,Vardo,NO,2021-02-06 22:25:17,70.3705,31.1107,27.27,95,100,27.98
275,Iranshahr,IR,2021-02-06 22:29:08,27.2025,60.6848,57.2,21,0,1.77
276,Karasjok,NO,2021-02-06 22:26:56,69.4719,25.5112,24.8,80,90,19.57
277,Calbuco,CL,2021-02-06 22:29:09,-41.768,-73.1273,73.4,40,0,13.8
278,Ubaira,BR,2021-02-06 22:29:09,-13.2681,-39.6628,73.98,87,99,4.56
279,Rio De Oro,CO,2021-02-06 22:29:09,8.2919,-73.3849,75.92,64,93,4.18
280,Preobrazheniye,RU,2021-02-06 22:29:09,42.9019,133.9064,14.34,87,42,9.78
281,Kendari,ID,2021-02-06 22:25:08,-3.945,122.4989,75.92,91,100,2.55
282,Neiafu,TO,2021-02-06 22:29:09,-18.65,-173.9833,80.6,89,75,13.8
283,Vung Tau,VN,2021-02-06 22:29:09,10.346,107.0843,75.13,78,96,10.29
284,Remedios,CU,2021-02-06 22:29:10,22.4947,-79.5458,86.0,54,20,10.36
285,Laredo,US,2021-02-06 22:25:45,27.5064,-99.5075,78.8,21,1,17.27
286,Iquitos,PE,2021-02-06 22:24:23,-3.7481,-73.2472,80.6,78,40,4.61
287,Henties Bay,NA,2021-02-06 22:29:13,-22.116,14.2845,64.99,89,23,1.99
288,Namibe,AO,2021-02-06 22:28:59,-15.1961,12.1522,71.73,78,38,7.09
289,Lavrentiya,RU,2021-02-06 22:29:14,65.5833,-171.0,-7.69,79,0,3.67
290,Cayenne,GF,2021-02-06 22:27:41,4.9333,-52.3333,77.0,100,75,1.14
291,Ca Mau,VN,2021-02-06 22:28:58,9.1769,105.15,72.5,89,88,0.96
292,Sao Jose Da Coroa Grande,BR,2021-02-06 22:29:14,-8.8978,-35.1478,78.96,81,51,10.31
293,Flin Flon,CA,2021-02-06 22:29:14,54.7682,-101.865,-22.0,57,40,8.05
